date,part_id,category,size,manufacturer,opening_stock,arrival_today,planned_usage,used_actual,unmet_usage,closing_stock,pending_inbound_before_order,order_qty_requested,order_qty_effective,lead_time_days,unit_price,monthly_discount,shipping_fee,region_fee,total_cost
2024-01-01,2,Capacitor,1008,murata,5000,0,86,86,0,4914,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-02,2,Capacitor,1008,murata,4914,0,148,148,0,4766,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-03,2,Capacitor,1008,murata,4766,0,136,136,0,4630,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-04,2,Capacitor,1008,murata,4630,0,99,99,0,4531,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-05,2,Capacitor,1008,murata,4531,0,111,111,0,4420,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-06,2,Capacitor,1008,murata,4420,0,152,152,0,4268,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-07,2,Capacitor,1008,murata,4268,0,82,82,0,4186,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-08,2,Capacitor,1008,murata,4186,0,58,58,0,4128,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-09,2,Capacitor,1008,murata,4128,0,58,58,0,4070,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-10,2,Capacitor,1008,murata,4070,0,148,148,0,3922,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-11,2,Capacitor,1008,murata,3922,0,90,90,0,3832,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-12,2,Capacitor,1008,murata,3832,0,156,156,0,3676,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-13,2,Capacitor,1008,murata,3676,0,78,78,0,3598,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-14,2,Capacitor,1008,murata,3598,0,168,168,0,3430,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-15,2,Capacitor,1008,murata,3430,0,58,58,0,3372,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-16,2,Capacitor,1008,murata,3372,0,152,152,0,3220,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-17,2,Capacitor,1008,murata,3220,0,123,123,0,3097,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-18,2,Capacitor,1008,murata,3097,0,78,78,0,3019,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-19,2,Capacitor,1008,murata,3019,0,123,123,0,2896,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-20,2,Capacitor,1008,murata,2896,0,62,62,0,2834,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-21,2,Capacitor,1008,murata,2834,0,41,41,0,2793,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-22,2,Capacitor,1008,murata,2793,0,99,99,0,2694,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-23,2,Capacitor,1008,murata,2694,0,45,45,0,2649,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-24,2,Capacitor,1008,murata,2649,0,127,127,0,2522,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-25,2,Capacitor,1008,murata,2522,0,41,41,0,2481,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-26,2,Capacitor,1008,murata,2481,0,62,62,0,2419,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-27,2,Capacitor,1008,murata,2419,0,66,66,0,2353,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-28,2,Capacitor,1008,murata,2353,0,82,82,0,2271,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-29,2,Capacitor,1008,murata,2271,0,131,131,0,2140,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-30,2,Capacitor,1008,murata,2140,0,103,103,0,2037,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-01-31,2,Capacitor,1008,murata,2037,0,160,160,0,1877,0,0,0,1,16.8,0.1847,0.0,0.0,0.0
2024-02-01,2,Capacitor,1008,murata,1877,0,103,103,0,1774,0,0,0,1,16.8,0.1386,0.0,0.0,0.0
2024-02-02,2,Capacitor,1008,murata,1774,0,115,115,0,1659,0,0,0,1,16.8,0.1386,0.0,0.0,0.0
2024-02-03,2,Capacitor,1008,murata,1659,0,82,82,0,1577,0,0,0,1,16.8,0.1386,0.0,0.0,0.0
2024-02-04,2,Capacitor,1008,murata,1577,0,127,127,0,1450,0,0,0,1,16.8,0.1386,0.0,0.0,0.0
2024-02-05,2,Capacitor,1008,murata,1450,0,74,74,0,1376,0,0,0,1,16.8,0.1386,0.0,0.0,0.0
2024-02-06,2,Capacitor,1008,murata,1376,0,82,82,0,1294,0,0,0,1,16.8,0.1386,0.0,0.0,0.0
